,gene_sgRNA,log of change,final diff,exon_id
682,CKAP5_sgRNA682,0.46542631431472914,-0.20359320481546841,ENSE00002170580
683,CKAP5_sgRNA683,0.9509102723673851,-0.8362051232374854,ENSE00002170580
684,CKAP5_sgRNA684,0.8212566524652499,-0.6721058424317427,ENSE00002170580
685,CKAP5_sgRNA685,-0.8178485363896056,0.9013765472059317,ENSE00002170580
686,CKAP5_sgRNA686,5.551666759919312,-4.380239324099786,ENSE00003646099
687,CKAP5_sgRNA687,0.04477249848062954,0.11184649047087301,ENSE00003646099
688,CKAP5_sgRNA688,-0.40363080615697766,0.3896706043154532,ENSE00003646099
689,CKAP5_sgRNA689,1.4314782338970775,-1.1181139104331699,ENSE00003646099
690,CKAP5_sgRNA690,-0.03245928968123335,0.12107735136060621,ENSE00003646099
691,CKAP5_sgRNA691,-0.48788808603165196,0.5314722151464131,ENSE00002153873
692,CKAP5_sgRNA692,-0.4912464972712076,0.616389200874493,ENSE00002153873
693,CKAP5_sgRNA693,5.156329263905291,-4.304451119072696,ENSE00002153873
694,CKAP5_sgRNA694,-0.29940670184260876,0.47376176903647726,ENSE00002153873
695,CKAP5_sgRNA695,-0.3491715032840318,0.41518115628783697,ENSE00002153873
696,CKAP5_sgRNA696,1.5294292873426636,-1.336157136225259,ENSE00002153873
697,CKAP5_sgRNA697,-0.776202287684475,0.937535558912324,ENSE00002153873
698,CKAP5_sgRNA698,-0.15957437499492486,0.26435781881908105,ENSE00002153873
699,CKAP5_sgRNA699,0.010806352521876443,0.0789157229011342,ENSE00002153873
700,CKAP5_sgRNA700,-0.7508094706585482,0.8260078782584366,ENSE00003633114
701,CKAP5_sgRNA701,-0.2402104148434459,0.3503742611713179,ENSE00003633114
702,CKAP5_sgRNA702,-0.19784543972961566,0.3382495037574398,ENSE00003633114
703,CKAP5_sgRNA703,0.9804256854692216,-0.7134897532841362,ENSE00003633114
704,CKAP5_sgRNA704,5.304908500448897,-4.104783711366806,ENSE00003633114
705,CKAP5_sgRNA705,0.34716155272575766,-0.12220097419626123,ENSE00002165384
706,CKAP5_sgRNA706,0.8271583853093498,-0.5989189113878612,ENSE00002165384
707,CKAP5_sgRNA707,0.8700152536621617,-0.6312557652281003,ENSE00002165384
708,CKAP5_sgRNA708,-1.4860814340463404,1.568351452604485,ENSE00002165384
709,CKAP5_sgRNA709,1.451554833620132,-1.1331461070408875,ENSE00002165384
710,CKAP5_sgRNA710,0.20264255913243542,0.11538266270157642,ENSE00002165384
711,CKAP5_sgRNA711,1.1145993987384601,-0.8960582311737437,ENSE00002165384
712,CKAP5_sgRNA712,2.008899939727452,-1.6859263990311293,ENSE00002165384
713,CKAP5_sgRNA713,-0.32253675199690957,0.4286257166148287,ENSE00002165384
714,CKAP5_sgRNA714,1.081310243343358,-0.8861767516263722,ENSE00001657397
715,CKAP5_sgRNA715,-0.6149730022044375,0.5787865518244356,ENSE00001657397
716,CKAP5_sgRNA716,0.0,0.3171066876747595,ENSE00001657397
717,CKAP5_sgRNA717,-1.8938435953413346,1.919903070569026,ENSE00001226059
718,CKAP5_sgRNA718,-0.3340732688716958,0.40916009019307253,ENSE00001226059
719,CKAP5_sgRNA719,0.8800594110624989,-0.6013108135550854,ENSE00001226059
720,CKAP5_sgRNA720,-0.07128872993652072,0.1561899456569712,ENSE00001226059
721,CKAP5_sgRNA721,0.21625524576014377,0.005359890320244576,ENSE00001226059
722,CKAP5_sgRNA722,0.46476652204881214,-0.2073544091387281,ENSE00003566882
723,CKAP5_sgRNA723,0.7431365530671343,-0.3727032813937163,ENSE00003566882
724,CKAP5_sgRNA724,0.49680705104141965,-0.0742342076841418,ENSE00003566882
